Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:51:05,2.9,0.0,0.9,96.2,0.0,1,5442,1877,4.35,0.21,4.35,0.65,1.15
01:51:06,3.0,0.0,0.9,95.2,0.9,3,5366,2003,4.98,0.26,4.98,1.13,1.20
01:51:07,7.4,0.0,2.5,88.9,1.1,1,13701,3784,9.71,1.45,9.71,1.93,1.89
01:51:08,7.3,0.0,2.3,90.4,0.0,1,12961,3713,8.89,1.38,8.89,1.45,1.87
01:51:09,10.8,0.0,2.5,86.7,0.0,1,13260,5177,10.36,1.32,10.36,2.83,1.84
01:51:10,6.4,0.0,2.1,91.4,0.0,1,12102,3392,8.65,1.28,8.65,1.30,1.74
01:51:11,4.8,0.0,2.9,90.3,2.0,1,11923,3443,9.18,1.33,9.18,1.68,1.77
01:51:12,1.3,0.0,1.3,97.5,0.0,1,4826,1709,3.49,0.10,3.49,0.27,1.09
01:51:13,1.8,0.0,1.0,97.2,0.0,2,4336,1732,3.29,0.06,3.29,0.29,1.04
01:51:14,1.1,0.0,0.9,97.8,0.1,1,4322,1581,3.40,0.07,3.40,0.26,1.06
01:51:15,1.6,0.0,0.9,97.2,0.3,1,4377,1556,3.41,0.08,3.41,0.25,1.06
01:51:16,1.0,0.0,0.8,98.2,0.0,1,4224,1449,3.63,0.05,3.63,0.41,1.05
01:51:17,1.5,0.0,0.8,97.7,0.0,2,4416,1693,3.33,0.08,3.33,0.23,1.06
01:51:18,1.1,0.0,1.1,97.7,0.0,1,4595,1660,3.43,0.10,3.43,0.27,1.08
01:51:19,1.1,0.0,0.9,97.6,0.4,1,4066,1577,3.17,0.05,3.17,0.22,1.04
01:51:20,1.5,0.0,1.3,97.2,0.0,1,4432,1575,3.29,0.07,3.29,0.23,1.06
01:51:21,1.1,0.0,0.5,98.3,0.0,1,4252,1523,3.18,0.07,3.18,0.21,1.06
01:51:22,1.6,0.0,1.0,97.4,0.0,1,4155,1477,3.15,0.05,3.15,0.20,1.04
01:51:23,1.0,0.0,0.5,98.5,0.0,1,4213,1508,3.35,0.07,3.35,0.23,1.06
01:51:24,1.5,0.0,1.0,96.7,0.8,1,4402,1608,3.57,0.08,3.57,0.30,1.05
01:51:25,1.4,0.0,0.9,96.7,1.0,1,4277,1585,3.48,0.05,3.48,0.29,1.04
01:51:26,1.8,0.0,0.9,97.2,0.1,1,4376,1577,3.40,0.07,3.40,0.23,1.06
01:51:27,1.5,0.0,0.6,97.9,0.0,1,4338,1666,3.39,0.07,3.39,0.23,1.06
01:51:28,0.9,0.0,0.6,98.5,0.0,3,4294,1650,3.41,0.05,3.41,0.23,1.04
01:51:29,1.5,0.0,0.8,97.7,0.0,1,4329,1603,3.43,0.08,3.43,0.23,1.06
01:51:30,1.5,0.0,0.5,97.7,0.3,1,4540,1679,3.41,0.07,3.41,0.24,1.06
01:51:31,1.3,0.0,0.9,97.9,0.0,1,4292,1638,3.27,0.05,3.27,0.21,1.04
01:51:32,1.3,0.0,1.1,97.6,0.0,1,4421,1689,3.28,0.07,3.28,0.22,1.07
01:51:33,2.0,0.0,0.6,97.4,0.0,1,4357,1601,3.36,0.07,3.36,0.23,1.06
01:51:34,0.8,0.0,0.8,98.5,0.0,1,4147,1541,3.17,0.05,3.17,0.20,1.04
01:51:35,5.6,0.0,2.1,92.3,0.0,1,15133,4469,8.36,0.10,8.36,3.38,1.12
01:51:36,3.9,0.0,1.9,94.2,0.0,1,7800,2818,6.25,0.10,6.25,2.02,1.13
01:51:37,1.5,0.0,1.3,97.0,0.3,1,5091,2071,3.70,0.05,3.70,0.40,1.06
01:51:38,1.4,0.0,0.9,97.3,0.4,1,4848,1945,3.58,0.08,3.58,0.34,1.07
01:51:39,1.1,0.0,1.6,97.2,0.0,1,4926,1915,3.60,0.05,3.60,0.37,1.06
01:51:40,1.6,0.0,0.8,97.6,0.0,1,4629,1807,3.48,0.05,3.48,0.29,1.05
01:51:41,0.9,0.0,0.9,98.0,0.3,1,4815,1865,3.66,0.07,3.66,0.38,1.07
01:51:42,1.6,0.0,1.3,91.2,5.9,1,8323,2443,5.72,0.09,5.72,1.51,1.10
01:51:43,1.8,0.0,0.8,97.5,0.0,1,4580,1730,4.04,0.05,4.04,0.65,1.06
01:51:44,1.5,0.0,0.8,97.7,0.0,1,4793,1738,3.53,0.07,3.53,0.29,1.08
01:51:45,1.1,0.0,1.5,96.3,1.0,1,4853,1796,3.55,0.07,3.55,0.34,1.07
01:51:46,2.4,0.0,1.3,95.9,0.5,4,5168,1893,3.95,0.05,3.95,0.61,1.05
01:51:47,1.5,0.0,1.0,97.5,0.0,1,4864,1891,3.53,0.07,3.53,0.32,1.07
01:51:48,1.1,0.0,1.6,97.2,0.0,1,4898,1896,3.57,0.07,3.57,0.38,1.07
01:51:49,0.9,0.0,0.9,98.2,0.0,1,4246,1581,3.22,0.05,3.22,0.21,1.04
01:51:50,1.5,0.0,1.1,97.4,0.0,2,4375,1640,3.36,0.07,3.36,0.23,1.06
01:51:51,1.6,0.0,0.6,97.5,0.3,1,4376,1546,3.34,0.07,3.34,0.25,1.06
01:51:52,1.1,0.0,1.0,97.8,0.0,1,4288,1560,3.49,0.05,3.49,0.33,1.05
01:51:53,1.3,0.0,0.5,98.2,0.0,1,4372,1673,3.30,0.07,3.30,0.22,1.06
01:51:54,1.1,0.0,1.0,97.9,0.0,1,4370,1620,3.25,0.07,3.25,0.22,1.06
01:51:55,1.1,0.0,0.8,97.5,0.6,1,4139,1550,3.20,0.05,3.20,0.22,1.04
01:51:56,1.1,0.0,0.8,98.0,0.1,1,4369,1632,3.34,0.07,3.34,0.23,1.06
01:51:57,1.4,0.0,0.8,97.8,0.0,1,4558,1721,3.29,0.07,3.29,0.24,1.06
01:51:58,1.3,0.0,0.8,98.0,0.0,1,4166,1504,3.21,0.05,3.21,0.21,1.04
01:51:59,0.9,0.0,0.8,98.4,0.0,1,4295,1536,3.32,0.07,3.32,0.23,1.05
01:52:00,1.6,0.0,0.6,97.7,0.0,1,4595,1636,3.42,0.08,3.42,0.25,1.07
01:52:01,0.9,0.0,0.9,98.1,0.1,1,4176,1555,3.13,0.05,3.13,0.21,1.04
01:52:02,1.9,0.0,1.3,96.9,0.0,2,4542,1689,3.54,0.07,3.54,0.35,1.07
01:52:03,1.5,0.0,1.0,97.5,0.0,1,4479,1678,3.32,0.07,3.32,0.23,1.06
01:52:04,1.5,0.0,0.8,97.7,0.0,1,4124,1453,3.22,0.05,3.22,0.22,1.04
