Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
04:03:06,19.1,0.0,5.0,75.7,0.2,5,21708,5494,19.86,4.71,19.86,7.24,2.66
04:03:07,17.2,0.0,3.1,79.7,0.0,5,20990,5088,15.02,3.40,15.02,4.20,2.63
04:03:08,16.8,0.0,3.7,78.9,0.6,3,20641,5051,16.96,4.56,16.96,4.66,2.61
04:03:09,16.0,0.0,4.1,79.9,0.0,5,20050,4926,15.51,3.86,15.51,4.22,2.61
04:03:10,17.6,0.0,4.2,78.2,0.0,6,20786,5073,15.56,3.33,15.56,4.81,2.70
04:03:11,17.4,0.0,4.0,77.5,1.1,6,20289,5041,15.82,3.17,15.82,5.13,2.66
04:03:12,16.4,0.0,3.6,80.0,0.0,6,19551,4916,14.55,3.11,14.55,4.10,2.65
04:03:13,16.3,0.0,3.5,80.2,0.0,4,20029,5135,15.16,3.12,15.16,4.71,2.69
04:03:14,17.3,0.0,3.9,78.8,0.0,5,19970,5035,16.56,4.43,16.56,4.43,2.67
04:03:15,15.8,0.0,4.1,78.8,1.4,5,19870,4976,15.79,3.06,15.79,5.20,2.66
04:03:16,16.6,0.0,3.7,79.5,0.1,8,19551,5012,16.50,4.30,16.50,4.46,2.62
04:03:17,17.4,0.0,3.7,78.9,0.0,7,19713,4906,14.80,2.95,14.80,4.45,2.64
04:03:18,16.6,0.0,3.8,79.6,0.0,3,19700,4814,15.19,3.36,15.19,4.28,2.62
04:03:19,15.9,0.0,3.6,80.5,0.0,5,19421,4852,14.48,2.96,14.48,4.10,2.63
04:03:20,16.6,0.0,3.4,80.0,0.0,5,19219,4847,14.33,2.81,14.33,4.14,2.60
04:03:21,15.5,0.0,3.4,79.3,1.9,7,19650,5003,17.98,4.98,17.98,5.09,2.65
04:03:22,16.6,0.0,2.7,80.6,0.1,3,19481,4887,16.62,4.40,16.62,4.50,2.62
04:03:23,16.0,0.0,2.9,80.8,0.4,9,19607,4937,18.47,5.67,18.47,4.85,2.64
04:03:24,16.3,0.0,3.1,80.4,0.2,6,19345,4935,16.86,4.74,16.86,4.40,2.66
04:03:25,15.6,0.0,3.0,81.1,0.3,8,19402,4956,18.59,5.98,18.59,4.64,2.65
04:03:26,15.7,0.0,3.4,78.5,2.4,6,19836,4917,18.16,4.97,18.16,5.38,2.67
04:03:27,15.9,0.0,4.0,80.0,0.1,5,19625,4988,17.95,5.34,17.95,4.74,2.67
04:03:28,15.9,0.0,3.4,80.6,0.1,7,19470,4893,17.39,5.20,17.39,4.36,2.66
04:03:29,15.8,0.0,3.2,80.9,0.1,5,18862,4819,15.42,3.90,15.42,4.02,2.64
