Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:28:41,7.8,0.0,1.9,84.4,5.9,2,15087,4430,12.59,1.40,12.59,4.35,1.97
01:28:42,9.3,0.0,2.2,88.4,0.0,1,14104,4059,10.04,1.22,10.04,2.53,1.87
01:28:43,7.9,0.0,2.6,88.9,0.5,2,14063,3996,10.47,1.23,10.47,2.88,1.87
01:28:44,8.2,0.0,2.4,88.9,0.5,2,14266,4114,10.59,1.24,10.59,2.96,1.87
01:28:45,8.6,0.0,2.6,88.8,0.0,1,14095,4052,10.11,1.21,10.11,2.61,1.86
01:28:46,8.2,0.0,2.0,89.7,0.0,1,14403,4129,10.40,1.23,10.40,2.79,1.87
01:28:47,8.4,0.0,2.4,89.2,0.0,1,13940,3987,9.97,1.21,9.97,2.53,1.86
01:28:48,9.1,0.0,1.9,89.0,0.0,1,14227,4029,10.36,1.23,10.36,2.79,1.90
01:28:49,8.6,0.0,2.7,88.4,0.2,1,14159,4015,9.75,1.15,9.75,2.41,1.92
01:28:50,8.3,0.0,2.6,87.1,2.0,4,14005,4074,10.85,1.24,10.85,3.13,1.92
01:28:51,8.4,0.0,2.5,89.1,0.0,3,14225,4081,10.20,1.21,10.20,2.62,1.93
01:28:52,8.1,0.0,2.4,89.5,0.0,1,14336,4117,9.92,1.19,9.92,2.45,1.91
01:28:53,9.9,0.0,1.9,88.2,0.0,2,14591,4166,10.07,1.21,10.07,2.49,1.94
01:28:54,8.8,0.0,2.2,88.9,0.0,1,13928,3973,10.02,1.22,10.02,2.46,1.91
01:28:55,8.7,0.0,2.4,88.9,0.0,3,14395,4098,9.79,1.19,9.79,2.37,1.94
01:28:56,8.8,0.0,2.0,87.0,2.1,1,15224,4230,10.80,1.24,10.80,3.07,1.92
01:28:57,6.8,0.0,1.8,86.2,5.2,2,15087,4248,11.81,1.31,11.81,3.77,1.91
01:28:58,8.2,0.0,2.3,89.5,0.0,3,14259,4088,10.01,1.21,10.01,2.48,1.88
01:28:59,9.3,0.0,2.4,88.3,0.0,2,14328,4100,9.93,1.20,9.93,2.44,1.92
01:29:00,7.3,0.0,1.9,90.8,0.0,3,12825,3754,8.87,0.94,8.87,2.22,1.74
01:29:01,9.1,0.0,2.1,88.8,0.0,4,14608,4173,10.31,1.21,10.31,2.76,1.93
01:29:02,8.6,0.0,2.4,89.0,0.0,2,14469,4064,9.99,1.20,9.99,2.49,1.92
01:29:03,8.5,0.0,2.5,89.0,0.0,3,14248,4078,9.56,1.19,9.56,2.19,1.92
