Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
01:18:44,33.2,0.0,3.9,57.5,5.3,10,30262,6695,33.28,3.48,33.28,20.67,3.25
01:18:45,30.8,0.0,5.5,63.7,0.0,5,28365,6121,27.32,3.16,27.32,15.39,3.21
01:18:46,28.3,0.0,5.2,65.1,1.4,6,29909,6014,29.71,4.34,29.71,16.53,3.05
01:18:47,24.5,0.0,3.2,70.7,1.7,9,26964,5658,24.93,1.80,24.93,14.53,2.82
01:18:48,22.9,0.0,3.7,72.6,0.8,7,25929,5584,23.53,1.77,23.53,13.31,2.79
01:18:49,25.7,0.0,3.9,70.1,0.3,3,25831,5706,23.42,1.75,23.42,13.34,2.79
01:18:50,26.8,0.0,4.4,68.8,0.0,5,27706,5784,23.83,1.78,23.83,13.59,2.82
01:18:51,24.6,0.0,3.8,71.6,0.0,4,25415,5473,23.61,1.76,23.61,13.38,2.79
01:18:52,22.8,0.0,3.2,74.0,0.0,6,24319,5328,21.88,1.72,21.88,11.80,2.74
01:18:53,23.3,0.0,3.6,72.4,0.8,5,24474,5443,23.14,1.74,23.14,12.92,2.77
01:18:54,24.8,0.0,3.2,72.0,0.0,9,24110,5373,22.02,1.70,22.02,12.04,2.76
01:18:55,24.7,0.0,3.8,71.4,0.1,6,24142,5508,21.85,1.70,21.85,11.91,2.75
01:18:56,23.8,0.0,2.8,72.3,1.0,5,24073,5483,22.40,1.72,22.40,12.36,2.74
01:18:57,22.4,0.0,3.6,71.8,2.2,8,25326,5539,23.35,1.76,23.35,13.05,2.79
01:18:58,23.6,0.0,3.3,72.2,0.9,4,24856,5388,22.65,1.74,22.65,12.48,2.77
01:18:59,22.1,0.0,3.4,73.0,1.5,5,24862,5452,23.02,1.76,23.02,12.82,2.77
01:19:00,22.1,0.0,3.6,74.3,0.0,4,25333,5497,22.93,1.80,22.93,12.69,2.79
01:19:01,23.1,0.0,3.7,73.1,0.1,5,24898,5450,22.61,1.75,22.61,12.48,2.73
01:19:02,23.8,0.0,2.6,73.6,0.0,4,24362,5434,22.56,1.73,22.56,12.42,2.75
01:19:03,24.0,0.0,3.1,72.9,0.0,7,24752,5434,22.61,1.71,22.61,12.52,2.77
01:19:04,25.4,0.0,3.3,71.3,0.0,9,24647,5339,22.21,1.72,22.21,12.16,2.77
01:19:05,26.3,0.0,3.6,69.9,0.1,7,24172,5596,22.20,1.72,22.20,12.20,2.76
01:19:06,24.4,0.0,3.3,71.8,0.5,5,24390,5499,22.15,1.72,22.15,12.12,2.74
01:19:07,22.5,0.0,3.1,72.3,2.0,3,25275,5581,23.23,1.75,23.23,12.99,2.75
01:19:08,26.9,0.0,5.3,65.9,1.8,6,35407,8026,28.49,1.84,28.49,17.84,2.82
01:19:09,25.1,0.0,4.1,63.9,6.9,7,28827,6562,28.19,1.85,28.19,17.45,2.84
01:19:10,27.2,0.0,3.6,69.1,0.1,8,25811,5927,23.85,1.76,23.85,13.69,2.85
01:19:11,25.8,0.0,3.2,71.1,0.0,4,25138,5609,23.12,1.77,23.12,12.94,2.81
01:19:12,25.2,0.0,3.1,71.7,0.0,7,25795,5659,23.32,1.76,23.32,13.12,2.78
01:19:13,24.0,0.0,3.5,72.5,0.0,2,25933,5681,22.62,1.74,22.62,12.47,2.75
01:19:14,20.5,0.0,3.0,73.6,3.0,8,23311,5319,22.17,1.76,22.17,12.06,2.68
01:19:15,25.6,0.0,3.8,70.6,0.0,6,24983,5507,22.87,1.74,22.87,12.69,2.79
01:19:16,23.9,0.0,4.2,71.9,0.0,4,24564,5454,22.65,1.73,22.65,12.58,2.77
01:19:17,24.8,0.0,4.2,69.7,1.4,5,25275,5584,23.45,1.77,23.45,13.23,2.77
01:19:18,21.7,0.0,4.3,72.4,1.7,7,24394,5428,22.55,1.74,22.55,12.50,2.76
01:19:19,24.5,0.0,4.1,70.1,1.4,6,24092,5620,23.17,1.75,23.17,13.08,2.81
01:19:20,24.8,0.0,3.9,71.1,0.1,6,25475,5599,23.27,1.76,23.27,13.19,2.81
01:19:21,25.4,0.0,3.7,70.8,0.1,6,24914,5394,23.01,1.76,23.01,12.92,2.80
01:19:22,24.4,0.0,4.1,71.5,0.0,3,26149,5503,22.69,1.76,22.69,12.52,2.79
01:19:23,24.8,0.0,3.3,71.9,0.0,3,24616,5460,23.22,1.76,23.22,13.03,2.77
01:19:24,24.5,0.0,3.7,71.8,0.0,4,23647,5293,22.01,1.73,22.01,11.96,2.78
01:19:25,23.9,0.0,3.6,72.3,0.3,7,24498,5502,22.93,1.76,22.93,12.77,2.74
01:19:26,24.8,0.0,3.3,71.5,0.4,7,24558,5441,23.28,1.79,23.28,13.04,2.79
01:19:27,23.0,0.0,4.1,72.9,0.0,5,24523,5467,23.70,1.80,23.70,13.36,2.78
01:19:28,21.6,0.0,3.4,75.0,0.0,8,23143,5280,21.93,1.74,21.93,11.81,2.71
01:19:29,20.6,0.0,3.4,76.0,0.0,9,21620,5085,20.51,1.71,20.51,10.57,2.65
01:19:30,24.3,0.0,3.2,72.6,0.0,5,22243,5464,22.53,1.74,22.53,12.41,2.73
01:19:31,22.7,0.0,3.1,74.0,0.3,1,21656,5132,21.49,1.70,21.49,11.54,2.69
01:19:32,21.4,0.0,4.0,73.6,1.0,6,23476,5357,22.04,1.73,22.04,11.96,2.74
01:19:33,24.4,0.0,3.4,70.7,1.5,6,24730,5426,23.07,1.74,23.07,12.98,2.77
01:19:34,24.2,0.0,2.8,72.3,0.6,6,24620,5471,22.54,1.75,22.54,12.49,2.78
01:19:35,24.4,0.0,3.3,68.9,3.4,6,24753,5558,24.70,1.79,24.70,14.41,2.79
01:19:36,24.4,0.0,3.7,71.7,0.3,3,24701,5395,22.60,1.77,22.60,12.49,2.81
01:19:37,23.0,0.0,3.6,73.1,0.3,8,23119,5229,21.57,1.74,21.57,11.54,2.73
01:19:38,22.9,0.0,2.4,74.7,0.0,3,23628,5345,21.59,1.73,21.59,11.50,2.77
01:19:39,25.0,0.0,3.4,71.6,0.0,3,24024,5314,22.08,1.74,22.08,11.95,2.77
01:19:40,22.6,0.0,3.5,73.8,0.1,6,24527,5468,22.42,1.74,22.42,12.27,2.77
01:19:41,23.3,0.0,3.5,73.2,0.0,3,24577,5409,22.42,1.73,22.42,12.32,2.76
01:19:42,24.5,0.0,3.3,70.4,1.8,3,24345,5777,23.03,1.75,23.03,12.95,2.77
01:19:43,22.3,0.0,3.8,71.9,2.0,4,23367,5330,22.99,1.75,22.99,12.88,2.76
