Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
00:49:06,18.4,0.0,4.2,74.2,3.3,1,24448,6128,23.99,7.58,23.99,8.00,3.03
00:49:07,18.7,0.0,3.9,77.4,0.0,1,24557,6275,20.51,6.59,20.51,5.91,3.04
00:49:08,19.3,0.0,4.1,76.6,0.0,1,25244,6390,21.24,6.93,21.24,6.17,3.04
00:49:09,19.1,0.0,4.8,76.1,0.0,2,23501,6043,20.02,6.32,20.02,5.73,3.00
00:49:10,18.7,0.0,3.9,77.4,0.0,1,21579,5745,21.58,7.14,21.58,6.28,2.98
00:49:11,17.6,0.0,4.4,77.9,0.1,3,21440,5569,19.63,6.56,19.63,5.10,3.02
00:49:12,18.8,0.0,3.9,77.3,0.0,1,21054,5568,19.70,6.77,19.70,4.99,2.97
00:49:13,21.9,0.0,4.0,74.1,0.0,1,21354,6864,22.82,7.58,22.82,7.07,3.02
00:49:14,19.8,0.0,4.0,74.7,1.6,4,21315,5725,21.56,7.01,21.56,6.38,3.01
00:49:15,18.0,0.0,3.9,76.9,1.2,1,21375,5478,20.86,6.68,20.86,6.02,2.99
00:49:16,17.1,0.0,4.4,77.6,1.0,4,21152,5483,20.38,6.76,20.38,5.57,2.99
00:49:17,19.5,0.0,3.8,76.7,0.0,3,21069,5432,20.25,6.96,20.25,5.28,2.99
00:49:18,18.0,0.0,4.8,77.1,0.0,3,21086,5427,20.26,6.92,20.26,5.31,2.98
00:49:19,13.6,0.0,3.8,72.6,10.0,1,23170,6051,25.91,7.51,25.91,9.66,2.99
00:49:20,18.1,0.0,3.2,78.8,0.0,1,21580,5681,19.73,6.51,19.73,5.23,2.99
00:49:21,17.2,0.0,5.0,77.8,0.0,3,21423,5441,19.60,6.57,19.60,5.10,2.98
00:49:22,17.5,0.0,4.3,78.0,0.3,1,21728,5615,20.19,6.74,20.19,5.42,2.99
00:49:23,20.1,0.0,6.8,73.2,0.0,2,30260,7860,25.15,7.40,25.15,9.32,3.01
00:49:24,18.1,0.0,3.9,78.0,0.0,2,22050,5778,21.10,7.46,21.10,5.51,2.95
00:49:25,18.1,0.0,4.3,77.6,0.0,1,22170,5704,19.88,6.53,19.88,5.36,3.00
00:49:26,20.1,0.0,5.4,73.4,1.1,6,26741,7343,24.96,7.32,24.96,9.21,3.03
00:49:27,18.0,0.0,4.3,76.6,1.1,2,22768,6066,21.58,6.69,21.58,6.77,3.02
00:49:28,19.4,0.0,3.9,76.7,0.0,1,22503,5965,21.20,6.86,21.20,6.22,3.01
00:49:29,18.8,0.0,3.5,77.4,0.3,1,22432,5900,20.25,6.82,20.25,5.39,3.00
00:49:30,20.2,0.0,4.5,75.3,0.0,1,23302,6402,21.40,6.71,21.40,6.63,3.04
00:49:31,19.0,0.0,3.4,77.6,0.0,4,22123,5878,19.91,6.60,19.91,5.32,2.99
00:49:32,16.9,0.0,3.6,78.4,1.0,1,22804,5818,22.27,7.75,22.27,6.26,2.99
00:49:33,16.6,0.0,4.0,78.9,0.5,1,22500,5823,20.05,6.66,20.05,5.38,2.99
00:49:34,16.9,0.0,4.0,78.0,1.0,1,24569,5834,20.89,6.68,20.89,6.16,2.99
00:49:35,18.0,0.0,4.2,77.8,0.0,2,22259,5784,19.74,6.49,19.74,5.30,3.00
00:49:36,18.4,0.0,4.0,77.6,0.0,1,22714,6066,20.35,6.62,20.35,5.75,3.03
00:49:37,17.9,0.0,4.1,78.1,0.0,1,23001,5769,20.27,6.72,20.27,5.48,3.02
00:49:38,18.1,0.0,3.8,78.1,0.0,1,22262,5712,19.59,6.20,19.59,5.50,2.99
00:49:39,17.5,0.0,3.1,79.2,0.3,1,21061,5455,19.92,6.71,19.92,5.25,3.02
00:49:40,17.9,0.0,4.5,77.6,0.0,1,20573,5432,19.98,6.88,19.98,5.16,3.01
00:49:41,18.3,0.0,3.0,78.6,0.1,1,20273,5348,18.96,6.26,18.96,4.88,3.01
00:49:42,18.0,0.0,4.5,77.5,0.0,3,21069,5411,20.49,7.15,20.49,5.32,3.02
00:49:43,18.0,0.0,3.6,78.1,0.3,1,20738,5474,19.50,6.36,19.50,5.28,3.02
00:49:44,17.4,0.0,3.6,78.9,0.1,1,20364,5380,19.40,6.53,19.40,4.95,3.00
00:49:45,18.2,0.0,4.5,77.3,0.0,1,20562,5414,20.12,6.58,20.12,5.62,3.02
00:49:46,16.6,0.0,3.8,79.6,0.0,1,20168,5330,20.62,7.35,20.62,5.21,2.98
00:49:47,18.6,0.0,4.8,76.6,0.0,2,20691,5550,21.53,7.49,21.53,5.97,3.01
00:49:48,18.1,0.0,3.9,77.9,0.1,1,20735,5349,19.08,6.17,19.08,5.09,3.01
00:49:49,17.4,0.0,3.7,78.9,0.0,1,20354,5339,19.40,6.50,19.40,5.01,3.01
00:49:50,18.6,0.0,4.4,76.9,0.1,3,20486,5413,19.85,6.69,19.85,5.18,2.99
00:49:51,17.2,0.0,3.3,79.5,0.0,1,20415,5242,19.23,6.65,19.23,4.72,2.98
00:49:52,17.6,0.0,3.5,78.8,0.0,2,20497,5276,19.46,6.56,19.46,5.02,3.01
00:49:53,16.5,0.0,3.7,79.8,0.0,1,20448,5393,19.19,6.35,19.19,4.98,3.01
00:49:54,17.3,0.0,3.3,79.1,0.3,1,20251,5305,19.91,6.85,19.91,5.10,3.00
00:49:55,15.8,0.0,3.5,77.1,3.6,1,20769,5390,21.42,6.62,21.42,6.63,3.01
00:49:56,16.1,0.0,3.8,80.1,0.0,1,20333,5327,20.10,7.15,20.10,5.01,3.00
00:49:57,18.1,0.0,3.5,78.3,0.0,1,20434,5267,20.88,7.49,20.88,5.28,2.97
00:49:58,18.1,0.0,3.7,78.2,0.0,1,20214,5281,19.68,6.74,19.68,4.96,2.98
00:49:59,17.0,0.0,2.3,80.0,0.6,1,20188,5349,20.30,7.00,20.30,5.31,2.99
00:50:00,15.5,0.0,3.8,79.4,1.3,3,20420,5372,20.74,7.05,20.74,5.62,2.98
00:50:01,16.9,0.0,3.3,79.8,0.0,1,20683,5315,20.02,6.91,20.02,5.12,2.98
00:50:02,16.2,0.0,4.0,79.9,0.0,1,20804,5372,19.61,6.53,19.61,5.15,3.01
00:50:03,16.4,0.0,3.2,80.4,0.0,1,20317,5275,19.07,6.41,19.07,4.79,3.01
00:50:04,16.3,0.0,3.4,80.1,0.3,1,19715,5124,20.22,7.13,20.22,5.13,2.96
00:50:05,18.3,0.0,3.3,78.3,0.1,3,21256,5407,19.46,6.33,19.46,5.26,3.04
