Time,User,Nice,Sys,Idle,IO,Run,Ctxt/s,IRQ/s,Watts,uncore,pkg-0,core,dram
00:43:04,22.4,0.0,4.5,71.3,1.9,1,22635,6277,26.45,7.97,26.45,9.74,3.14
00:43:05,24.8,0.0,3.9,71.2,0.1,1,22170,5870,24.58,6.52,24.58,9.51,3.31
00:43:06,26.3,0.0,5.9,67.7,0.1,2,24833,5985,24.57,5.98,24.57,10.05,3.32
00:43:07,26.0,0.0,4.9,69.0,0.0,5,22545,6052,23.96,5.74,23.96,9.70,3.32
00:43:08,26.7,0.0,5.0,67.9,0.4,2,23054,5821,28.27,8.66,28.27,10.86,3.29
00:43:09,24.2,0.0,3.9,70.8,1.1,1,23402,5995,29.04,10.43,29.04,9.77,3.29
00:43:10,24.0,0.0,4.5,70.8,0.8,5,22781,5914,26.77,8.03,26.77,10.03,3.30
00:43:11,25.3,0.0,4.4,69.9,0.4,4,22957,6060,24.64,6.16,24.64,9.99,3.30
00:43:12,22.8,0.0,3.9,72.3,1.0,6,22559,5911,23.28,5.42,23.28,9.41,3.18
00:43:13,23.9,0.0,3.8,71.7,0.6,1,22404,5605,23.94,6.22,23.94,9.09,3.10
00:43:14,27.8,0.0,4.8,67.4,0.0,2,23141,6125,25.79,6.20,25.79,10.96,3.30
00:43:15,24.6,0.0,4.5,70.4,0.5,4,22744,5731,27.81,9.19,27.81,9.90,3.27
00:43:16,23.2,0.0,4.5,71.0,1.2,2,21684,5502,29.12,9.86,29.12,10.41,3.29
00:43:17,23.9,0.0,3.5,72.5,0.1,2,21187,5522,23.35,6.26,23.35,8.68,3.26
00:43:18,22.3,0.0,3.9,73.8,0.0,2,20192,5274,23.24,6.27,23.24,8.53,3.22
00:43:19,20.6,0.0,3.6,75.1,0.7,2,19741,5357,22.20,5.70,22.20,8.04,3.02
00:43:20,21.8,0.0,3.2,73.8,1.1,1,20357,5295,24.82,7.45,24.82,8.72,3.12
00:43:21,24.1,0.0,4.4,71.2,0.2,2,20286,5326,24.09,6.93,24.09,8.63,3.21
00:43:22,27.5,0.0,4.0,68.5,0.0,3,20562,5304,24.97,6.89,24.97,9.50,3.35
00:43:23,25.1,0.0,4.3,70.5,0.1,4,20669,5364,24.30,6.48,24.30,9.30,3.24
00:43:24,24.3,0.0,4.6,70.0,1.1,2,21095,5462,30.70,11.69,30.70,10.07,3.27
00:43:25,23.8,0.0,4.2,71.4,0.6,5,21616,5468,28.04,9.64,28.04,9.59,3.28
00:43:26,22.9,0.0,4.0,72.8,0.4,4,20957,5402,25.21,7.65,25.21,8.97,3.25
00:43:27,23.9,0.0,4.2,71.8,0.1,4,20591,5536,23.32,6.33,23.32,8.53,3.22
00:43:28,20.7,0.0,4.7,74.1,0.5,5,19836,5079,20.99,4.87,20.99,7.90,3.02
00:43:29,23.2,0.0,4.1,72.2,0.5,3,20508,5347,25.95,8.55,25.95,8.80,3.16
00:43:30,25.3,0.0,4.1,70.3,0.2,1,20528,5345,23.34,6.11,23.34,8.80,3.32
00:43:31,26.1,0.0,4.5,69.4,0.0,6,20870,5641,23.53,6.03,23.53,9.16,3.29
00:43:32,24.6,0.0,4.6,70.0,0.9,6,20730,5395,27.35,8.93,27.35,9.74,3.25
00:43:33,22.5,0.0,3.9,68.6,5.0,2,21315,5527,31.23,11.01,31.23,11.42,3.25
00:43:34,22.9,0.0,3.9,72.6,0.6,1,20911,5343,27.06,9.18,27.06,9.08,3.22
00:43:35,23.7,0.0,4.6,71.6,0.1,2,20740,5423,25.42,7.86,25.42,8.94,3.27
00:43:36,23.8,0.0,3.9,72.3,0.0,2,19878,5161,22.62,5.61,22.62,8.71,3.17
00:43:37,20.6,0.0,3.0,75.4,1.0,1,19446,4988,21.77,5.67,21.77,7.84,2.99
00:43:38,20.6,0.0,3.3,74.5,1.6,3,20847,5533,25.66,7.81,25.66,9.24,3.12
00:43:39,24.7,0.0,4.6,70.5,0.1,2,20373,5480,24.04,6.50,24.04,9.02,3.30
00:43:40,26.6,0.0,3.5,69.9,0.0,3,20726,5446,24.23,6.25,24.23,9.53,3.35
00:43:41,25.5,0.0,3.7,70.6,0.1,3,20381,5211,23.69,6.05,23.69,9.25,3.21
00:43:42,24.5,0.0,4.4,69.7,1.3,3,20711,5320,30.20,11.65,30.20,9.77,3.25
00:43:43,24.4,0.0,3.9,71.1,0.5,3,21338,5812,27.52,9.43,27.52,9.35,3.26
00:43:44,23.3,0.0,3.9,72.5,0.2,2,20418,5240,25.17,7.53,25.17,8.98,3.21
00:43:45,22.3,0.0,4.6,72.8,0.2,3,20082,5272,24.87,7.53,24.87,8.78,3.16
00:43:46,19.1,0.0,4.0,76.3,0.6,1,19451,5037,21.38,5.27,21.38,7.76,2.98
00:43:47,21.4,0.0,3.6,74.2,0.9,5,20123,5392,24.83,7.75,24.83,8.45,3.06
00:43:48,22.1,0.0,4.6,73.2,0.1,1,20413,5238,25.39,7.98,25.39,8.76,3.17
00:43:49,24.8,0.0,5.4,69.9,0.0,3,20435,5439,25.46,6.62,25.46,10.20,3.31
00:43:50,25.6,0.0,4.2,70.3,0.0,3,20337,5451,23.04,5.32,23.04,9.41,3.21
00:43:51,20.0,0.0,2.9,76.3,0.9,7,19152,5083,21.34,5.21,21.34,7.82,2.97
00:43:52,21.2,0.0,4.6,73.6,0.6,1,20157,5294,25.11,7.64,25.11,9.03,3.15
00:43:53,25.1,0.0,5.3,69.6,0.0,1,20709,5541,24.83,6.61,24.83,9.67,3.30
00:43:54,25.8,0.0,4.4,69.8,0.0,2,20365,5375,25.28,7.58,25.28,9.17,3.27
00:43:55,24.6,0.0,3.6,71.6,0.2,2,20871,5397,25.30,7.47,25.30,9.29,3.23
00:43:56,21.8,0.0,4.6,72.6,1.1,3,20689,5432,27.85,10.78,27.85,8.49,3.20
00:43:57,22.9,0.0,3.9,72.7,0.5,2,21084,5467,26.14,8.56,26.14,8.88,3.25
00:43:58,23.0,0.0,3.9,73.0,0.1,2,20769,5388,23.47,6.56,23.47,8.45,3.26
00:43:59,22.5,0.0,3.8,73.6,0.0,5,19840,5303,22.59,5.97,22.59,8.23,3.12
00:44:00,19.1,0.0,3.7,74.8,2.4,4,19606,5166,23.82,6.51,23.82,8.69,2.98
00:44:01,20.2,0.0,4.0,74.6,1.2,2,19839,5297,23.78,6.85,23.78,8.48,3.05
00:44:02,24.1,0.0,3.9,71.8,0.1,1,20089,5306,24.35,7.44,24.35,8.36,3.21
00:44:03,25.8,0.0,4.8,69.4,0.0,3,20469,5398,23.80,6.30,23.80,9.04,3.32
